CaseID,LodgedMonth,CaseType,Region,Channel,Status,DaysOpen,ExposureAUD,DocumentCount,MissingEvidence,ReviewFlag
CSE-200315,2026-11,Complaint,SA,Broker,Reopened,131,845231,4,None,N
CSE-200316,2026-03,Loan application,NZ,Branch,Awaiting Evidence,189,539403,6,Identity documents,N
CSE-200317,2026-06,Payment dispute,VIC,Online,Assessing,17,58822,11,None,N
CSE-200318,2026-02,Loan application,NSW,Phone,Resolved,40,248889,12,None,N
CSE-200319,2026-09,Payment dispute,NSW,Branch,Assessing,8,461401,15,None,N
CSE-200320,2026-09,Loan application,QLD,Broker,Assessing,127,341230,12,Authority to act,N
CSE-200321,2026-04,Financial crime review,SA,Branch,Awaiting Evidence,23,431399,10,None,N
CSE-200322,2026-10,Payment dispute,VIC,Phone,Awaiting Evidence,237,691899,9,Income evidence,N
CSE-200323,2026-05,Complaint,QLD,Online,Resolved,45,166220,2,Transaction detail,N
CSE-200324,2026-06,Complaint,QLD,Broker,Awaiting Evidence,134,380824,2,Income evidence,N
CSE-200325,2026-04,Hardship request,NSW,Online,Open,97,670087,3,None,Y
CSE-200326,2026-07,Loan application,VIC,Branch,Assessing,213,91824,10,Income evidence,Y
CSE-200327,2026-10,Hardship request,NZ,Online,Assessing,9,619378,14,Identity documents,N
CSE-200328,2026-06,Hardship request,WA,Broker,Resolved,144,484786,17,None,N
CSE-200329,2026-02,Financial crime review,NZ,Broker,Open,149,492142,15,None,N
CSE-200330,2026-05,Complaint,SA,Phone,Awaiting Evidence,92,740403,2,None,N
CSE-200331,2026-12,Complaint,VIC,Phone,Awaiting Evidence,87,422850,15,Statement of position,N
CSE-200332,2026-04,Financial crime review,QLD,Phone,Assessing,57,756384,6,Statement of position,N
CSE-200333,2026-04,Payment dispute,NSW,Broker,Resolved,9,384412,13,None,N
CSE-200334,2026-01,Financial crime review,WA,Online,Open,87,515601,11,Income evidence,N
CSE-200335,2026-03,Hardship request,NZ,Branch,Awaiting Evidence,18,161910,14,None,N
CSE-200336,2026-03,Hardship request,QLD,Branch,Assessing,62,313090,19,None,N
CSE-200337,2026-02,Hardship request,SA,Branch,Open,240,651062,6,Statement of position,N
CSE-200338,2026-06,Payment dispute,WA,Phone,Resolved,240,670029,10,Statement of position,N
CSE-200339,2026-09,Loan application,WA,Phone,Open,113,69764,4,Statement of position,N
CSE-200340,2026-06,Payment dispute,VIC,Online,Resolved,120,381021,18,Identity documents,N
CSE-200341,2026-03,Payment dispute,QLD,Branch,Resolved,61,701602,6,Identity documents,N
CSE-200342,2026-06,Payment dispute,WA,Branch,Assessing,107,380943,9,Income evidence,N
CSE-200343,2026-08,Payment dispute,QLD,Broker,Awaiting Evidence,39,44466,16,None,N
CSE-200344,2026-05,Financial crime review,NSW,Broker,Open,104,148304,8,Income evidence,N
CSE-200345,2026-01,Complaint,QLD,Online,Resolved,66,32851,18,None,N
CSE-200346,2026-04,Complaint,VIC,Branch,Awaiting Evidence,240,395123,17,Statement of position,N
CSE-200347,2026-07,Loan application,QLD,Phone,Awaiting Evidence,4,717573,15,None,Y
CSE-200348,2026-11,Payment dispute,SA,Broker,Resolved,222,38859,17,Income evidence,N
CSE-200349,2026-05,Loan application,WA,Branch,Resolved,223,818351,6,Identity documents,Y
CSE-200350,2026-11,Financial crime review,VIC,Broker,Resolved,41,370789,12,Authority to act,Y
CSE-200351,2026-10,Payment dispute,NSW,Branch,Awaiting Evidence,84,199048,13,None,N
CSE-200352,2026-06,Complaint,SA,Phone,Awaiting Evidence,152,134166,11,None,N
CSE-200353,2026-06,Financial crime review,SA,Phone,Resolved,227,577143,19,Income evidence,N
CSE-200354,2026-12,Payment dispute,WA,Online,Assessing,120,855529,13,Income evidence,N
CSE-200355,2026-02,Loan application,VIC,Branch,Resolved,67,469030,19,None,N
CSE-200356,2026-01,Complaint,QLD,Branch,Open,40,408598,9,None,Y
CSE-200357,2026-11,Financial crime review,QLD,Broker,Resolved,138,43239,4,Authority to act,N
CSE-200358,2026-06,Complaint,SA,Broker,Assessing,109,400306,11,Transaction detail,N
CSE-200359,2026-11,Loan application,VIC,Phone,Open,39,224005,9,None,N
CSE-200360,2026-01,Loan application,SA,Online,Resolved,240,648711,6,Identity documents,N
CSE-200361,2026-02,Complaint,VIC,Broker,Declined,227,493738,18,Income evidence,N
CSE-200362,2026-06,Hardship request,NSW,Online,Resolved,125,218226,4,Authority to act,N
CSE-200363,2026-08,Hardship request,WA,Phone,Assessing,153,220726,4,None,N
CSE-200364,2026-08,Financial crime review,VIC,Branch,Assessing,75,252560,12,None,N
CSE-200365,2026-11,Loan application,NZ,Broker,Resolved,73,403748,12,None,N
CSE-200366,2026-04,Payment dispute,NZ,Online,Open,23,123822,10,None,N
CSE-200367,2026-08,Complaint,NZ,Phone,Open,78,725946,17,None,Y
CSE-200368,2026-02,Hardship request,NSW,Online,Resolved,93,294883,12,None,N
CSE-200369,2026-03,Payment dispute,NSW,Online,Open,240,913054,12,Identity documents,N
CSE-200370,2026-11,Loan application,WA,Branch,Assessing,139,887388,5,None,N
CSE-200371,2026-11,Complaint,SA,Branch,Open,26,135196,18,Authority to act,Y
CSE-200372,2026-03,Payment dispute,WA,Branch,Awaiting Evidence,36,737517,4,None,N
CSE-200373,2026-08,Financial crime review,SA,Online,Resolved,16,105971,18,None,N
CSE-200374,2026-05,Payment dispute,VIC,Broker,Resolved,157,638298,18,Income evidence,N
CSE-200375,2026-08,Complaint,NSW,Branch,Resolved,5,645703,16,None,N
CSE-200376,2026-04,Loan application,NZ,Online,Resolved,42,677236,10,None,N
CSE-200377,2026-10,Payment dispute,QLD,Phone,Assessing,128,93682,12,Statement of position,N
CSE-200378,2026-12,Hardship request,SA,Broker,Reopened,146,386406,16,Income evidence,N
CSE-200379,2026-06,Hardship request,NZ,Online,Assessing,240,68587,18,Transaction detail,N
CSE-200380,2026-09,Payment dispute,NZ,Phone,Open,69,781636,14,None,N
CSE-200381,2026-12,Financial crime review,VIC,Broker,Reopened,106,31670,12,None,N
CSE-200382,2026-01,Loan application,QLD,Phone,Awaiting Evidence,74,387509,6,None,N
CSE-200383,2026-09,Loan application,NSW,Online,Resolved,143,55125,10,Authority to act,N
CSE-200384,2026-11,Loan application,NSW,Branch,Open,202,635073,11,Income evidence,N
CSE-200385,2026-02,Financial crime review,NSW,Phone,Resolved,37,321626,4,Identity documents,N
CSE-200386,2026-10,Complaint,VIC,Broker,Assessing,99,687102,8,Income evidence,N
CSE-200387,2026-07,Financial crime review,NSW,Branch,Resolved,80,873639,6,Transaction detail,N
CSE-200388,2026-03,Financial crime review,NSW,Broker,Resolved,97,471945,18,None,N
CSE-200389,2026-11,Hardship request,SA,Online,Resolved,151,241960,5,Transaction detail,N
CSE-200390,2026-01,Hardship request,QLD,Broker,Resolved,148,766675,6,None,N
CSE-200391,2026-09,Complaint,NSW,Online,Declined,118,96371,9,None,N
CSE-200392,2026-07,Financial crime review,NSW,Online,Assessing,147,606145,2,None,N
CSE-200393,2026-01,Loan application,QLD,Online,Resolved,240,504699,11,Income evidence,N
CSE-200394,2026-08,Complaint,VIC,Broker,Assessing,174,445116,9,Authority to act,Y
CSE-200395,2026-03,Financial crime review,WA,Broker,Resolved,57,874039,8,Identity documents,N
CSE-200396,2026-09,Loan application,QLD,Broker,Resolved,221,408526,9,Statement of position,N
CSE-200397,2026-05,Complaint,NZ,Branch,Open,66,326524,11,None,N
CSE-200398,2026-11,Loan application,VIC,Branch,Awaiting Evidence,35,295686,5,None,N
CSE-200399,2026-09,Complaint,QLD,Broker,Resolved,81,416948,6,None,N
CSE-200400,2026-03,Financial crime review,NSW,Online,Awaiting Evidence,8,211643,15,None,N
CSE-200401,2026-12,Financial crime review,SA,Phone,Assessing,63,833903,18,None,N
CSE-200402,2026-07,Loan application,QLD,Broker,Assessing,230,585867,19,Identity documents,N
CSE-200403,2026-12,Hardship request,NZ,Online,Reopened,124,901645,9,Authority to act,N
CSE-200404,2026-02,Payment dispute,NSW,Branch,Awaiting Evidence,240,613328,15,Identity documents,N
CSE-200405,2026-06,Financial crime review,NSW,Branch,Resolved,121,170752,13,None,N
CSE-200406,2026-10,Hardship request,SA,Branch,Awaiting Evidence,118,615775,4,None,N
CSE-200407,2026-11,Loan application,NSW,Broker,Resolved,134,437953,9,None,N
CSE-200408,2026-12,Complaint,SA,Broker,Declined,240,465806,14,Identity documents,N
CSE-200409,2026-03,Loan application,QLD,Online,Open,62,410387,3,Authority to act,N
CSE-200410,2026-05,Hardship request,WA,Branch,Reopened,20,653877,12,Authority to act,N
CSE-200411,2026-11,Loan application,QLD,Online,Assessing,129,588477,13,Income evidence,N
CSE-200412,2026-03,Loan application,QLD,Branch,Resolved,18,383079,16,None,N
CSE-200413,2026-11,Financial crime review,VIC,Phone,Reopened,206,270627,2,Income evidence,N
CSE-200414,2026-05,Financial crime review,NSW,Broker,Open,167,551548,3,Transaction detail,N
CSE-200415,2026-05,Payment dispute,WA,Broker,Assessing,240,286964,2,Authority to act,N
CSE-200416,2026-06,Hardship request,WA,Broker,Open,101,671679,4,Income evidence,N
CSE-200417,2026-11,Hardship request,SA,Broker,Resolved,228,10398,4,Identity documents,N
CSE-200418,2026-01,Hardship request,WA,Branch,Reopened,135,394625,11,Transaction detail,N
CSE-200419,2026-12,Hardship request,SA,Online,Resolved,240,594486,2,Income evidence,N
CSE-200420,2026-04,Financial crime review,SA,Branch,Assessing,14,786507,16,Statement of position,N
