Month,Region,Segment,Members,FUMAUD,InflowsAUD,OutflowsAUD,NetFlowAUD,SwitchedOut,ContactRatePct
2026-11,QLD,Pre-retirement 60-64,7782,4206151126,36272173,37298306,-1026133,50,4.7
2026-11,QLD,Pension 65+,5817,3683130441,37199932,46338168,-9138236,7,4.6
2026-11,WA,Accumulation <35,12706,513774403,3088959,2675837,413122,14,3.0
2026-11,WA,Accumulation 35-49,19035,3213915523,25141679,21289373,3852306,19,4.0
2026-11,WA,Accumulation 50-59,11537,3938796663,21936939,28865365,-6928426,12,3.7
2026-11,WA,Pre-retirement 60-64,5323,2587326613,13445832,9032314,4413518,36,1.2
2026-11,WA,Pension 65+,3905,2477205679,20856773,26232609,-5375836,3,1.3
2026-11,SA,Accumulation <35,8734,339685670,2944592,1568815,1375777,9,4.6
2026-11,SA,Accumulation 35-49,12873,2154147566,21901044,8148675,13752369,16,3.7
2026-11,SA,Accumulation 50-59,7781,2650802934,13912345,8493906,5418439,9,4.0
2026-11,SA,Pre-retirement 60-64,3414,1662577455,10170525,12285545,-2115020,19,3.6
2026-11,SA,Pension 65+,2579,1631029777,19287183,25838439,-6551256,2,4.6
2026-11,NZ,Accumulation <35,7943,326672998,3529963,1401346,2128617,9,1.4
2026-11,NZ,Accumulation 35-49,11184,1900949176,8948494,7569868,1378626,13,2.1
2026-11,NZ,Accumulation 50-59,6828,2200187724,10099466,16785897,-6686431,8,3.9
2026-11,NZ,Pre-retirement 60-64,2952,1530320722,8248485,13211838,-4963353,16,4.0
2026-11,NZ,Pension 65+,2190,1365595220,16201108,16541685,-340577,2,4.1
2026-12,NSW,Accumulation <35,29534,1115361429,14161310,3606511,10554799,32,3.4
2026-12,NSW,Accumulation 35-49,39058,6480045984,60200582,33693690,26506892,51,2.8
2026-12,NSW,Accumulation 50-59,24438,7860064021,32162206,46345090,-14182884,21,1.9
2026-12,NSW,Pre-retirement 60-64,11034,5536678472,65044736,42208117,22836619,81,1.8
2026-12,NSW,Pension 65+,8649,5363491755,61158272,65127541,-3969269,10,3.9
2026-12,VIC,Accumulation <35,25030,987799851,12334953,7214430,5120523,31,3.2
2026-12,VIC,Accumulation 35-49,35848,6164493948,47797406,19239883,28557523,42,2.4
2026-12,VIC,Accumulation 50-59,21751,7095927162,52704670,35190993,17513677,23,3.0
2026-12,VIC,Pre-retirement 60-64,9893,5311847375,35841670,31980986,3860684,69,2.1
2026-12,VIC,Pension 65+,7383,4661923999,32988940,59699159,-26710219,7,3.0
2026-12,QLD,Accumulation <35,19195,761158472,8119260,2351847,5767413,17,1.7
2026-12,QLD,Accumulation 35-49,28974,4805259322,33641755,42064985,-8423230,28,1.1
2026-12,QLD,Accumulation 50-59,17010,5607433609,37498948,42624141,-5125193,20,3.1
2026-12,QLD,Pre-retirement 60-64,7500,3730147103,29221878,32638228,-3416350,48,4.0
2026-12,QLD,Pension 65+,5557,3712338520,47872985,56051197,-8178212,5,1.8
2026-12,WA,Accumulation <35,13592,546047564,3525056,2420687,1104369,12,2.5
2026-12,WA,Accumulation 35-49,17869,2971609339,16826370,16376062,450308,18,4.4
2026-12,WA,Accumulation 50-59,11256,3776729110,16918797,30180361,-13261564,13,1.2
2026-12,WA,Pre-retirement 60-64,5172,2666758293,11109593,9196912,1912681,40,1.4
2026-12,WA,Pension 65+,3920,2358680049,12436518,30479952,-18043434,4,4.3
2026-12,SA,Accumulation <35,9043,360133077,2927575,2353348,574227,10,3.1
2026-12,SA,Accumulation 35-49,12784,2189261233,28049753,14845088,13204665,16,1.2
2026-12,SA,Accumulation 50-59,7576,2650370870,24141190,9660095,14481095,9,1.4
2026-12,SA,Pre-retirement 60-64,3486,1751638514,13518997,13369583,149414,25,3.3
2026-12,SA,Pension 65+,2646,1633521723,13234329,27973477,-14739148,3,4.4
2026-12,NZ,Accumulation <35,7792,303062060,3658294,2366822,1291472,9,4.5
2026-12,NZ,Accumulation 35-49,11270,1990350806,13450778,17498764,-4047986,11,3.1
2026-12,NZ,Accumulation 50-59,6665,2200290133,14568799,13902839,665960,8,3.5
2026-12,NZ,Pre-retirement 60-64,3072,1656317231,20646707,9158318,11488389,20,4.2
2026-12,NZ,Pension 65+,2156,1356197683,17287172,16790119,497053,2,2.4
