ClaimID,LodgedMonth,ClaimClass,Region,Channel,Status,DaysOpen,IncurredAUD,PaidAUD,ReserveAUD,DocumentCount,MissingEvidence,FraudReviewFlag
CLM-100292,2026-06,Motor,NZ,Mobile App,Assessing,9,4991,1853,3138,9,Proof of ownership,N
CLM-100293,2026-01,Home,NSW,Online,Open,69,43040,16940,26100,10,None,N
CLM-100294,2026-07,Home,SA,Broker,Settled,93,47128,47128,0,16,Proof of ownership,N
CLM-100295,2026-09,Travel,QLD,Mobile App,Open,177,6190,2264,3926,10,None,N
CLM-100296,2026-11,Travel,NZ,Mobile App,Settled,41,7203,7203,0,2,None,N
CLM-100297,2026-09,Travel,NSW,Mobile App,Open,157,1441,501,940,17,None,N
CLM-100298,2026-06,Motor,NSW,Online,Assessing,59,15117,2944,12173,8,Proof of ownership,N
CLM-100299,2026-03,Home,QLD,Broker,Awaiting Evidence,41,9299,1452,7847,9,None,N
CLM-100300,2026-02,Liability,VIC,Mobile App,Awaiting Evidence,86,95552,20297,75255,3,None,N
CLM-100301,2026-12,Liability,NZ,Broker,Settled,48,54974,54974,0,16,Photos,N
CLM-100302,2026-02,Motor,QLD,Online,Settled,60,6132,6132,0,13,Medical report,N
CLM-100303,2026-04,Motor,NSW,Mobile App,Open,75,16643,2715,13928,15,Medical report,N
CLM-100304,2026-04,Motor,NSW,Phone,Awaiting Evidence,86,14746,3907,10839,14,Police report,N
CLM-100305,2026-03,Liability,SA,Phone,Reopened,32,100129,10038,90091,17,Photos,N
CLM-100306,2026-10,Home,QLD,Online,Awaiting Evidence,94,49382,18993,30389,17,Repair quote,N
CLM-100307,2026-10,Travel,VIC,Online,Settled,80,3206,3206,0,16,Police report,N
CLM-100308,2026-10,Motor,QLD,Mobile App,Awaiting Evidence,97,10381,3437,6944,3,Proof of ownership,N
CLM-100309,2026-11,Motor,SA,Mobile App,Open,5,7831,2602,5229,11,None,N
CLM-100310,2026-10,Contents,NZ,Broker,Settled,61,4427,4427,0,13,Photos,N
CLM-100311,2026-10,Liability,QLD,Phone,Open,45,61945,23753,38192,9,Repair quote,N
CLM-100312,2026-08,Commercial Property,SA,Broker,Reopened,9,128032,18163,109869,3,None,N
CLM-100313,2026-06,Commercial Property,NZ,Broker,Settled,6,155388,155388,0,2,None,N
CLM-100314,2026-07,Contents,QLD,Mobile App,Assessing,139,1247,281,966,3,Repair quote,N
CLM-100315,2026-07,Commercial Property,VIC,Mobile App,Settled,62,104573,104573,0,12,Proof of ownership,N
CLM-100316,2026-12,Home,NSW,Mobile App,Reopened,21,29591,12702,16889,13,Repair quote,N
CLM-100317,2026-06,Commercial Property,WA,Online,Open,22,145762,29940,115822,3,Police report,N
CLM-100318,2026-01,Travel,NZ,Broker,Declined,142,1694,0,0,15,None,N
CLM-100319,2026-01,Motor,QLD,Phone,Settled,72,16510,16510,0,16,Medical report,N
CLM-100320,2026-11,Commercial Property,WA,Online,Awaiting Evidence,91,90177,29810,60367,10,None,N
CLM-100321,2026-06,Motor,VIC,Broker,Assessing,96,11868,514,11354,4,Proof of ownership,N
CLM-100322,2026-07,Motor,QLD,Phone,Settled,79,10376,10376,0,9,Photos,N
CLM-100323,2026-08,Liability,SA,Broker,Open,97,116837,2866,113971,10,Medical report,N
CLM-100324,2026-05,Contents,NSW,Phone,Settled,81,9519,9519,0,4,Repair quote,N
CLM-100325,2026-12,Contents,NZ,Online,Settled,15,1614,1614,0,3,None,N
CLM-100326,2026-02,Motor,NSW,Mobile App,Settled,55,7265,7265,0,8,None,N
CLM-100327,2026-04,Motor,NZ,Online,Settled,81,3047,3047,0,10,Repair quote,N
CLM-100328,2026-09,Commercial Property,NZ,Phone,Settled,83,140854,140854,0,15,Repair quote,N
CLM-100329,2026-07,Liability,NZ,Online,Awaiting Evidence,19,64713,18743,45970,12,Repair quote,N
CLM-100330,2026-04,Commercial Property,VIC,Mobile App,Awaiting Evidence,66,174197,48346,125851,10,Photos,N
CLM-100331,2026-12,Liability,WA,Mobile App,Open,63,94000,22513,71487,5,Police report,N
CLM-100332,2026-10,Home,QLD,Online,Settled,77,12780,12780,0,12,None,N
CLM-100333,2026-03,Commercial Property,QLD,Online,Open,96,202282,72014,130268,17,Proof of ownership,N
CLM-100334,2026-01,Motor,NZ,Broker,Settled,23,8984,8984,0,4,Proof of ownership,N
CLM-100335,2026-04,Commercial Property,QLD,Broker,Settled,54,33723,33723,0,7,None,N
CLM-100336,2026-04,Home,NSW,Mobile App,Open,102,39786,9522,30264,6,None,N
CLM-100337,2026-07,Home,NZ,Mobile App,Settled,93,6334,6334,0,16,Medical report,N
CLM-100338,2026-12,Motor,VIC,Broker,Settled,55,7689,7689,0,2,Medical report,N
CLM-100339,2026-06,Motor,NSW,Mobile App,Settled,7,19609,19609,0,4,None,N
CLM-100340,2026-08,Home,QLD,Broker,Declined,120,73663,0,0,14,Medical report,N
CLM-100341,2026-01,Liability,NSW,Online,Assessing,55,112013,9766,102247,2,None,N
CLM-100342,2026-01,Commercial Property,NSW,Mobile App,Settled,57,54230,54230,0,4,Repair quote,N
CLM-100343,2026-06,Travel,WA,Phone,Settled,66,3200,3200,0,11,Photos,N
CLM-100344,2026-10,Motor,QLD,Broker,Open,13,2558,234,2324,6,Repair quote,N
CLM-100345,2026-12,Commercial Property,QLD,Online,Reopened,170,178477,66806,111671,8,None,N
CLM-100346,2026-06,Travel,SA,Online,Open,146,2952,1071,1881,10,Police report,N
CLM-100347,2026-05,Liability,NZ,Mobile App,Reopened,140,57899,5252,52647,2,Proof of ownership,N
CLM-100348,2026-11,Home,NSW,Online,Settled,94,61771,61771,0,3,None,N
CLM-100349,2026-02,Liability,QLD,Broker,Settled,44,63856,63856,0,2,None,N
CLM-100350,2026-05,Commercial Property,NZ,Online,Settled,56,70724,70724,0,12,None,N
CLM-100351,2026-12,Contents,NZ,Phone,Awaiting Evidence,4,12898,172,12726,7,None,N
CLM-100352,2026-09,Commercial Property,NSW,Mobile App,Settled,38,184501,184501,0,3,None,N
CLM-100353,2026-10,Home,VIC,Broker,Settled,38,6595,6595,0,15,Police report,N
CLM-100354,2026-12,Travel,SA,Mobile App,Awaiting Evidence,170,5676,510,5166,11,None,N
CLM-100355,2026-12,Travel,NZ,Online,Declined,119,798,0,0,15,None,N
CLM-100356,2026-05,Commercial Property,SA,Mobile App,Settled,34,106519,106519,0,10,Repair quote,N
CLM-100357,2026-12,Contents,NZ,Online,Open,99,2382,726,1656,16,None,N
CLM-100358,2026-10,Motor,WA,Phone,Settled,10,20366,20366,0,12,Repair quote,N
CLM-100359,2026-08,Motor,SA,Broker,Awaiting Evidence,128,8581,70,8511,7,Proof of ownership,N
CLM-100360,2026-01,Liability,WA,Online,Settled,70,116936,116936,0,6,None,N
CLM-100361,2026-03,Commercial Property,NZ,Mobile App,Settled,75,200781,200781,0,14,Medical report,N
CLM-100362,2026-10,Home,VIC,Online,Declined,64,21642,0,0,16,None,N
CLM-100363,2026-06,Travel,VIC,Broker,Declined,125,7373,0,0,7,None,Y
CLM-100364,2026-12,Motor,VIC,Online,Settled,74,4596,4596,0,8,None,Y
CLM-100365,2026-08,Travel,SA,Online,Awaiting Evidence,156,4862,658,4204,4,None,N
CLM-100366,2026-05,Liability,NZ,Phone,Settled,68,49266,49266,0,8,Proof of ownership,N
CLM-100367,2026-11,Contents,WA,Mobile App,Assessing,120,6629,2785,3844,8,None,N
CLM-100368,2026-05,Liability,NZ,Broker,Settled,82,33712,33712,0,14,None,N
CLM-100369,2026-01,Contents,NZ,Phone,Awaiting Evidence,177,4944,1549,3395,4,None,N
CLM-100370,2026-03,Contents,NZ,Mobile App,Settled,44,10411,10411,0,3,None,N
CLM-100371,2026-09,Home,WA,Online,Settled,69,55335,55335,0,10,Repair quote,N
CLM-100372,2026-09,Liability,VIC,Online,Settled,72,87265,87265,0,5,Police report,N
CLM-100373,2026-06,Contents,QLD,Broker,Settled,50,12663,12663,0,17,Photos,N
CLM-100374,2026-02,Travel,WA,Online,Settled,78,6820,6820,0,2,None,N
CLM-100375,2026-01,Home,WA,Broker,Declined,42,14865,0,0,17,Medical report,N
CLM-100376,2026-04,Contents,NSW,Phone,Assessing,131,5470,1033,4437,13,Police report,N
CLM-100377,2026-11,Home,NSW,Broker,Open,33,42888,17063,25825,12,Police report,N
CLM-100378,2026-06,Home,NSW,Phone,Reopened,55,71549,7501,64048,13,Repair quote,N
CLM-100379,2026-07,Commercial Property,QLD,Broker,Open,150,84237,13921,70316,3,Photos,N
CLM-100380,2026-04,Home,NZ,Phone,Open,24,52819,19482,33337,7,Police report,N
CLM-100381,2026-05,Liability,NZ,Broker,Settled,32,42074,42074,0,13,None,N
CLM-100382,2026-10,Liability,QLD,Online,Assessing,151,78882,33327,45555,12,Medical report,N
CLM-100383,2026-03,Contents,VIC,Online,Declined,17,1725,0,0,13,None,N
CLM-100384,2026-01,Contents,VIC,Mobile App,Settled,24,7355,7355,0,15,Repair quote,N
CLM-100385,2026-04,Travel,NSW,Online,Declined,97,5147,0,0,11,None,N
CLM-100386,2026-08,Commercial Property,NZ,Mobile App,Settled,52,170449,170449,0,16,Repair quote,N
CLM-100387,2026-10,Commercial Property,QLD,Online,Reopened,121,25107,6102,19005,5,Photos,N
CLM-100388,2026-03,Liability,NSW,Mobile App,Reopened,143,108313,48546,59767,10,None,N
CLM-100389,2026-09,Travel,VIC,Phone,Settled,18,1279,1279,0,14,None,N
CLM-100390,2026-01,Motor,VIC,Broker,Awaiting Evidence,175,13315,4637,8678,8,None,N
CLM-100391,2026-06,Liability,QLD,Mobile App,Awaiting Evidence,86,85981,24192,61789,9,Proof of ownership,N
CLM-100392,2026-03,Contents,VIC,Online,Awaiting Evidence,90,7667,318,7349,10,Repair quote,N
CLM-100393,2026-01,Commercial Property,QLD,Online,Settled,76,152449,152449,0,14,Proof of ownership,N
CLM-100394,2026-05,Motor,SA,Broker,Settled,67,20018,20018,0,11,Repair quote,N
CLM-100395,2026-02,Liability,NZ,Broker,Reopened,164,77929,27675,50254,16,Medical report,N
CLM-100396,2026-12,Travel,WA,Phone,Reopened,144,807,82,725,8,Proof of ownership,N
CLM-100397,2026-10,Commercial Property,QLD,Phone,Assessing,103,122433,37154,85279,9,None,N
CLM-100398,2026-05,Liability,NZ,Online,Settled,39,114248,114248,0,14,None,N
CLM-100399,2026-07,Liability,SA,Mobile App,Settled,71,126789,126789,0,3,Proof of ownership,N
CLM-100400,2026-04,Travel,WA,Online,Settled,66,3602,3602,0,13,Proof of ownership,N
CLM-100401,2026-08,Liability,QLD,Broker,Open,79,71344,19429,51915,8,None,N
CLM-100402,2026-03,Motor,WA,Phone,Declined,99,14773,0,0,16,Proof of ownership,N
CLM-100403,2026-12,Home,NZ,Broker,Settled,13,25152,25152,0,5,None,N
CLM-100404,2026-12,Contents,SA,Broker,Open,105,10996,2882,8114,17,None,N
CLM-100405,2026-01,Commercial Property,WA,Mobile App,Awaiting Evidence,149,186721,24486,162235,13,Proof of ownership,N
CLM-100406,2026-05,Motor,WA,Online,Settled,22,19308,19308,0,10,Proof of ownership,N
CLM-100407,2026-02,Contents,WA,Online,Assessing,92,3068,1376,1692,13,None,N
CLM-100408,2026-07,Motor,NZ,Online,Awaiting Evidence,13,16381,1776,14605,15,Repair quote,N
CLM-100409,2026-12,Home,NSW,Broker,Open,22,14148,1103,13045,14,Medical report,N
CLM-100410,2026-08,Travel,WA,Mobile App,Declined,148,5134,0,0,3,None,N
CLM-100411,2026-12,Contents,WA,Mobile App,Settled,36,10983,10983,0,10,None,N
CLM-100412,2026-08,Contents,NZ,Broker,Reopened,128,3418,826,2592,12,Photos,N
CLM-100413,2026-04,Home,WA,Phone,Settled,67,16273,16273,0,4,None,N
CLM-100414,2026-04,Contents,WA,Phone,Settled,66,1496,1496,0,15,Repair quote,Y
CLM-100415,2026-02,Commercial Property,SA,Broker,Settled,62,37651,37651,0,11,None,N
CLM-100416,2026-04,Commercial Property,QLD,Broker,Settled,45,206074,206074,0,6,Proof of ownership,Y
CLM-100417,2026-09,Contents,QLD,Mobile App,Declined,160,9121,0,0,17,Proof of ownership,N
CLM-100418,2026-07,Commercial Property,NSW,Broker,Declined,103,75951,0,0,9,Proof of ownership,N
CLM-100419,2026-09,Home,WA,Online,Assessing,32,45464,12977,32487,9,Proof of ownership,N
CLM-100420,2026-05,Liability,SA,Broker,Declined,174,60360,0,0,10,None,N
