MemberRef,Segment,State,InvestmentOption,BalanceAUD,AnnualContributionAUD,InsuranceCover,EngagementLevel,SwitchedLast12m,AdviserLinked,ContactsLast12m
MBR-500313,Accumulation <35,SA,Growth,83013,2437,Y,Medium,N,N,3
MBR-500314,Pension 65+,QLD,Growth,319186,0,Y,Low,N,N,1
MBR-500315,Accumulation 35-49,QLD,Conservative,139813,11340,N,Medium,N,N,8
MBR-500316,Accumulation <35,SA,Sustainable,57955,5004,Y,High,N,N,5
MBR-500317,Pre-retirement 60-64,NSW,MySuper Balanced,717078,50486,Y,Low,N,N,8
MBR-500318,Pension 65+,WA,Indexed Shares,710230,0,Y,High,N,N,6
MBR-500319,Accumulation <35,NSW,Conservative,29374,1550,Y,High,N,N,8
MBR-500320,Pension 65+,TAS,Growth,199607,0,Y,High,N,N,9
MBR-500321,Pre-retirement 60-64,TAS,Sustainable,479220,38705,Y,Medium,N,N,3
MBR-500322,Pension 65+,NZ,MySuper Balanced,1130811,0,Y,High,N,N,6
MBR-500323,Accumulation <35,VIC,Cash,92679,6145,N,Low,N,N,4
MBR-500324,Pension 65+,VIC,Sustainable,237629,0,N,Low,N,Y,9
MBR-500325,Pension 65+,QLD,Sustainable,700285,0,Y,Medium,N,N,1
MBR-500326,Accumulation 50-59,TAS,Indexed Shares,484318,19192,N,Low,N,Y,3
MBR-500327,Pension 65+,NSW,Conservative,788826,0,N,Medium,N,N,7
MBR-500328,Pension 65+,WA,Sustainable,1365745,0,Y,Low,N,N,0
MBR-500329,Accumulation 35-49,VIC,Growth,204057,6291,Y,Medium,N,N,6
MBR-500330,Pension 65+,SA,Conservative,1443574,0,Y,High,N,Y,3
MBR-500331,Accumulation <35,SA,Indexed Shares,60508,5680,Y,Low,N,Y,5
MBR-500332,Accumulation <35,QLD,Growth,96289,9075,Y,Medium,N,Y,6
MBR-500333,Pre-retirement 60-64,SA,Cash,870394,53661,Y,Medium,N,N,2
MBR-500334,Accumulation 50-59,QLD,Conservative,118041,11316,Y,High,N,N,0
MBR-500335,Accumulation <35,NZ,Indexed Shares,27769,2364,Y,Low,N,Y,4
MBR-500336,Pre-retirement 60-64,QLD,Sustainable,1118992,95979,Y,High,N,N,2
MBR-500337,Pre-retirement 60-64,QLD,Growth,840295,32640,N,Medium,Y,N,9
MBR-500338,Pre-retirement 60-64,SA,Growth,863045,70080,N,Medium,N,N,5
MBR-500339,Accumulation <35,VIC,Indexed Shares,69236,5388,Y,Medium,N,Y,9
MBR-500340,Pre-retirement 60-64,QLD,Growth,925633,29152,Y,Low,N,N,7
MBR-500341,Accumulation 35-49,NZ,Sustainable,195387,18311,N,Medium,N,N,9
MBR-500342,Accumulation 50-59,NSW,Sustainable,163730,11968,N,Medium,Y,N,9
MBR-500343,Accumulation 35-49,SA,Indexed Shares,246128,21115,Y,High,N,Y,3
MBR-500344,Accumulation 35-49,TAS,MySuper Balanced,71631,5917,Y,Medium,N,N,0
MBR-500345,Pension 65+,QLD,Growth,1253684,0,Y,Low,Y,N,0
MBR-500346,Accumulation 50-59,WA,Cash,301637,29361,Y,Medium,Y,Y,7
MBR-500347,Accumulation <35,TAS,MySuper Balanced,27287,1030,Y,Medium,N,N,6
MBR-500348,Accumulation 35-49,VIC,Cash,382658,9986,Y,High,N,N,0
MBR-500349,Accumulation 35-49,QLD,Cash,271941,17816,Y,Low,N,N,7
MBR-500350,Accumulation 35-49,QLD,Indexed Shares,345973,33504,Y,High,N,N,5
MBR-500351,Accumulation 50-59,VIC,Conservative,157763,16021,Y,High,N,N,4
MBR-500352,Accumulation 50-59,TAS,Sustainable,260187,28133,Y,Medium,N,N,6
MBR-500353,Accumulation <35,VIC,Sustainable,92407,3701,Y,Medium,N,N,1
MBR-500354,Accumulation <35,NSW,Growth,21308,1738,Y,Low,N,N,3
MBR-500355,Pension 65+,NSW,MySuper Balanced,842823,0,Y,Medium,N,N,3
MBR-500356,Pre-retirement 60-64,SA,Indexed Shares,955492,43473,Y,Low,N,N,7
MBR-500357,Pre-retirement 60-64,WA,Conservative,1031112,55147,Y,Low,N,N,3
MBR-500358,Pension 65+,QLD,MySuper Balanced,1365752,0,N,Medium,N,Y,5
MBR-500359,Accumulation <35,WA,Conservative,53937,4922,Y,Medium,N,Y,2
MBR-500360,Accumulation 35-49,WA,Cash,92416,4525,Y,Medium,N,N,1
